id,genre
324807,Mystery
324807,Thriller
252512,Drama
252512,Comedy
257091,Comedy
228968,Drama
228968,Action
228968,Crime
228968,Thriller
347969,Comedy
347969,Western
237756,Comedy
237756,Thriller
293646,History
293646,Drama
245168,Drama
245168,History
311291,Drama
301351,Drama
301351,Music
301351,Romance
248574,Adventure
248574,Action
248574,Comedy
225728,History
225728,Drama
225728,War
326425,Action
326425,Thriller
342474,Comedy
342474,Drama
277217,Music
277217,Action
277217,Adventure
277217,Comedy
277217,Family
207936,Music
207936,Romance
207936,Comedy
250734,Romance
250734,Drama
249688,Drama
268238,Drama
268238,Comedy
256962,Comedy
256962,Drama
256962,War
322456,Action
322456,Adventure
322456,Animation
322456,Family
302528,Drama
302528,Thriller
222936,Adventure
222936,Comedy
222936,Romance
316002,Romance
316002,Comedy
365806,Action
365806,Animation
365806,Science Fiction
10317,Drama
10317,Comedy
334538,Drama
334538,Science Fiction
306947,Thriller
328901,Drama
382517,Animation
382517,Comedy
382517,Family
382517,Adventure
310133,Thriller
237584,Thriller
288036,Comedy
354110,Western
354110,Drama
331781,Documentary
331781,Music
253161,Drama
312831,Fantasy
312831,Horror
316322,Family
316322,Animation
301846,Horror
306745,Romance
306745,Drama
332340,Romance
332340,Comedy
292431,Drama
292431,Romance
300693,Drama
333381,Thriller
256924,Comedy
256924,Drama
256924,Music
253414,Comedy
253414,Music
253414,War
254172,Drama
320588,Comedy
320588,Drama
320588,Romance
157544,Thriller
157544,Horror
283235,Drama
243938,Comedy
86835,Romance
86835,Drama
254905,Drama
309242,Drama
332502,Mystery
332502,Science Fiction
332502,Thriller
286192,Animation
286192,Comedy
286192,Family
286192,Fantasy
286192,Music
284674,Thriller
284674,Science Fiction
360055,Action
352179,Drama
352179,Thriller
246127,Drama
338676,Drama
338676,Horror
338676,Science Fiction
330982,Mystery
330982,Drama
330982,Horror
232572,Drama
232572,Adventure
232572,Comedy
112454,Horror
243940,Thriller
243940,Horror
321528,Action
321528,Adventure
321528,Animation
317744,Thriller
300792,Adventure
300792,Documentary
239573,Comedy
167810,Fantasy
167810,Thriller
319075,Music
319075,Documentary
316042,War
316042,Drama
334527,Thriller
334527,Crime
334527,Drama
300153,Drama
228203,Drama
332704,Horror
332704,Mystery
278236,Drama
276839,Drama
276839,Comedy
326215,Animation
326215,Adventure
326215,Comedy
363689,Thriller
363689,Horror
318256,Documentary
299245,Horror
299245,Thriller
333344,Drama
333344,Comedy
357096,Horror
357096,Thriller
309299,History
309299,Drama
314385,Drama
314385,Romance
333596,Drama
361042,Horror
361042,TV Movie
353686,Thriller
353686,Horror
318954,Action
289191,Drama
289191,Thriller
324333,Crime
324333,Drama
252164,Drama
252164,Thriller
360784,Thriller
360784,Horror
336313,Fantasy
336313,Comedy
336313,Animation
240483,Adventure
240483,Science Fiction
240483,Action
321494,Action
353595,Action
353595,Adventure
353595,Animation
353595,Family
360603,TV Movie
264337,Action
264337,Drama
264337,Family
289716,Drama
296065,Horror
296065,Thriller
337029,Horror
337029,Thriller
317952,Drama
317952,Documentary
325358,Comedy
272548,Comedy
340275,Music
340275,Drama
340275,Crime
340275,Comedy
309887,Comedy
309887,Action
302429,Music
302429,Animation
302429,Family
302429,Fantasy
253331,Drama
293771,Horror
293771,Science Fiction
323373,Comedy
323373,Horror
323027,Action
323027,Animation
323027,Fantasy
297806,Drama
297806,Music
253626,Action
253626,Drama
253626,Thriller
354251,Fantasy
354251,Thriller
354251,Horror
354251,Science Fiction
329637,Action
329637,Science Fiction
329637,Adventure
329637,Fantasy
257444,Thriller
257444,Drama
257444,Horror
355338,Animation
355338,Family
271736,Drama
309581,Thriller
309581,Drama
293970,Horror
293970,Comedy
279690,Thriller
279690,Horror
279690,Comedy
279690,Drama
364067,Comedy
364067,Music
318922,Thriller
318922,Comedy
318922,Crime
335077,Family
335077,Science Fiction
335077,Action
335077,Adventure
266639,Drama
266639,Music
266639,Adventure
266639,Fantasy
274504,Thriller
274504,Action
274504,Drama
244316,Action
244316,Horror
244316,Thriller
352208,Documentary
283587,Drama
283587,War
311539,Horror
277713,Drama
347945,Thriller
347945,Mystery
347945,Science Fiction
363483,Family
363483,TV Movie
344854,Thriller
344854,Horror
234212,Thriller
234212,Horror
354220,Crime
354220,Horror
354220,Thriller
283596,Thriller
283596,Drama
283596,Comedy
250225,Drama
307479,Thriller
307479,Action
339145,Drama
323660,Fantasy
323660,Action
323660,Adventure
308638,Drama
308638,Comedy
359983,Family
359983,TV Movie
359983,Animation
300155,Thriller
300155,Romance
300155,Drama
328595,Science Fiction
328595,Action
327528,Drama
327528,Music
329540,Thriller
329540,Action
306964,Horror
360387,Adventure
360387,Action
362185,Thriller
362185,Action
362185,Drama
94365,Horror
241855,Horror
241855,Romance
241855,Science Fiction
322518,Thriller
291272,Horror
324963,Animation
324963,Family
324963,Fantasy
342927,Science Fiction
342927,Action
342927,Horror
361159,Horror
361159,Action
365805,Thriller
365805,Action
365805,Horror
351964,Comedy
351964,Romance
362057,Drama
362057,Horror
362057,Thriller
137333,Thriller
137333,Drama
137333,Science Fiction
317198,TV Movie
317198,Adventure
317198,Comedy
57876,Horror
57876,Thriller
57876,Science Fiction
339533,TV Movie
339533,Action
339533,Science Fiction
277546,Drama
308457,Science Fiction
308457,Drama
308457,Family
306482,Thriller
306482,Drama
362105,Comedy
362105,Horror
245846,Drama
245846,Thriller
330112,Drama
330112,Romance
330112,Comedy
322766,Crime
322766,Drama
322766,Thriller
361931,Documentary
318224,Documentary
309503,Thriller
309503,Drama
348811,War
348811,Action
310135,Adventure
310135,Action
310135,Comedy
310135,Science Fiction
355111,Animation
355111,Music
355111,Family
335866,Drama
335866,Horror
335866,Science Fiction
335866,Thriller
295592,Animation
295592,Documentary
335970,Comedy
366142,Animation
310121,Drama
310121,Comedy
361263,Drama
361263,TV Movie
361263,Crime
361263,Mystery
324308,Documentary
326923,Drama
326923,TV Movie
356842,Thriller
339530,Science Fiction
339530,Action
339530,Horror
331190,Crime
331190,Drama
331190,Thriller
301729,Science Fiction
301729,Thriller
301729,Fantasy
395883,Action
395883,Science Fiction
356300,Comedy
218784,Science Fiction
218784,Comedy
218784,Horror
310137,Thriller
310137,Horror
342917,Action
342917,Animation
342917,Family
79698,Action
79698,Adventure
79698,Science Fiction
79698,Romance
337960,Drama
296130,Science Fiction
296130,Horror
327418,Action
327418,Animation
327418,Family
246133,Drama
246133,Comedy
328869,Drama
308032,Thriller
308032,Drama
329829,Drama
329829,History
329829,Romance
330544,Drama
330544,Music
330544,TV Movie
299551,Horror
207270,Thriller
207270,Horror
307946,Drama
356905,Family
356905,Adventure
318279,Adventure
318279,Documentary
345637,Animation
284286,Romance
284286,Comedy
284286,Drama
340816,Romance
340816,Comedy
206197,Mystery
206197,Drama
206197,Thriller
331446,TV Movie
331446,Horror
331446,Science Fiction
351901,Action
351901,Thriller
357681,Documentary
333657,Drama
336845,Drama
336845,Crime
343795,Drama
294562,Horror
294562,Science Fiction
294562,TV Movie
306197,Drama
306197,Comedy
297556,Science Fiction
297556,Action
297556,Animation
297556,Adventure
354743,Romance
354743,Drama
157422,Horror
316885,Drama
228973,Drama
228973,Horror
228973,Thriller
323967,Drama
323967,Comedy
320048,Drama
320048,Thriller
320048,Horror
359305,Drama
359305,Thriller
359305,Mystery
329004,Drama
329004,Science Fiction
329004,Thriller
362180,Horror
343284,Comedy
343284,Horror
243752,Romance
243752,Comedy
291866,Horror
291866,Science Fiction
291866,Thriller
330127,History
330127,Documentary
330127,Family
323694,Horror
323694,Comedy
323694,Romance
334028,Horror
354924,Horror
354924,Thriller
368256,Horror
324291,Drama
324291,Comedy
347847,Science Fiction
347847,Horror
295490,Drama
253406,Music
253406,Comedy
253406,Drama
291865,Horror
334531,Drama
324803,Thriller
339355,Comedy
309304,Drama
309304,Comedy
339342,Horror
306966,Horror
226458,Thriller
226458,Horror
339148,Romance
339148,Comedy
340684,Romance
340684,Drama
340968,History
340968,Crime
340968,Drama
347754,Horror
347754,Thriller
326284,Action
317144,Drama
317144,Thriller
277558,Action
277558,Drama
277558,Thriller
338928,Documentary
291189,Romance
291189,Drama
291189,Comedy
291189,Mystery
309425,Fantasy
309425,Drama
287689,TV Movie
287689,Comedy
325189,Comedy
325189,Music
298582,History
298582,Drama
298582,Family
301228,Thriller
301228,Mystery
301228,Science Fiction
343934,Comedy
296025,Drama
371442,Comedy
325173,Crime
325173,Action
282313,Science Fiction
282313,Drama
282313,Thriller
300542,Drama
300542,Mystery
300542,Thriller
309924,Comedy
348634,Comedy
348634,TV Movie
348634,Romance
318044,Documentary
318044,Music
259958,Drama
316715,Drama
308027,Comedy
279144,Documentary
355020,Documentary
323665,Mystery
323665,Thriller
323665,Horror
323665,Science Fiction
358895,Drama
358895,Romance
347548,Thriller
347548,Horror
347548,Science Fiction
353345,Horror
323370,Horror
323370,Science Fiction
323370,Thriller
337958,Comedy
337958,Drama
337958,Romance
333674,Drama
333674,Thriller
333674,Horror
301728,Horror
301728,Science Fiction
301728,Thriller
366018,Romance
366018,Music
366018,TV Movie
366018,Comedy
256030,Horror
356149,Horror
300666,Drama
300666,Music
347642,Horror
373558,Documentary
373558,Music
367326,Science Fiction
367326,Comedy
367326,Animation
367326,Family
329205,Thriller
329205,Horror
386501,Drama
386501,Comedy
321769,Documentary
251471,Documentary
174340,Documentary
309298,Comedy
285840,Mystery
285840,Horror
285840,Comedy
308077,Drama
321109,Documentary
341886,Science Fiction
341886,Horror
308024,Mystery
308024,Comedy
356216,Crime
311615,Comedy
311615,Action
311615,Adventure
333873,Documentary
362154,Thriller
362154,Crime
293941,Drama
293941,Science Fiction
293941,Thriller
360203,Action
360203,Crime
360203,Drama
360203,Thriller
294132,Comedy
301629,Comedy
331592,Drama
331592,Thriller
331592,Science Fiction
342464,Drama
342464,Family
332976,Thriller
332976,Action
332976,Adventure
332976,Crime
367551,Action
367551,Comedy
367551,Science Fiction
353610,Action
316410,Thriller
316410,Drama
106845,Horror
106845,Science Fiction
339362,Action
339362,Comedy
339362,Romance
323966,Crime
323966,Action
354857,Comedy
354857,TV Movie
354857,Animation
354857,Science Fiction
333653,TV Movie
333653,Drama
323366,Thriller
323366,Horror
323366,Mystery
75861,Drama
75861,Music
283698,Drama
363889,Comedy
363889,Horror
329020,Horror
329020,Animation
329020,Mystery
323272,Drama
343921,Drama
343921,Thriller
361671,Drama
346494,Comedy
346494,Drama
321974,Documentary
321974,Music
363757,Romance
363757,Comedy
328820,Thriller
359255,Thriller
359255,Horror
355178,Comedy
310491,Drama
319096,Romance
319096,Drama
319096,Music
285024,Drama
360341,Music
360341,Documentary
329556,Action
329556,Crime
329556,Drama
329556,Thriller
241927,Horror
347751,Drama
347751,Horror
287692,Horror
321668,Science Fiction
321668,Horror
315024,Action
315024,Science Fiction
323674,Romance
323674,Drama
345944,Documentary
300686,Drama
324253,Documentary
395560,Drama
395560,History
395560,Thriller
395560,Science Fiction
312827,Horror
312827,Documentary
308084,Comedy
308084,Drama
268725,Thriller
268725,Horror
308361,Drama
308361,Thriller
327029,Action
327029,Adventure
327029,Science Fiction
249916,Romance
249916,Comedy
249916,Drama
331161,Drama
331161,Comedy
339065,Documentary
244563,Drama
360605,Fantasy
360605,Adventure
360605,Comedy
315855,Romance
315855,Comedy
315855,Drama
